5	225	10.6066017178
		
15	192.6666666667	9.8149545762
		
		
25	158.5	8.9022469074
		
35	72	4.8989794856
		
		
45	16	2.8284271247
		
49	16	2.828
		
45	25.5	2.0615528128
		
		
		
		
		
50	9	1.7320508076
		
		
54	0	0
		
		
52	0	0
-52	0	0
		
		
57	0	0
		
52	0.3636363636	0.2279211529
		
		
		
		
		
		
53	0.6666666667	0.272165527
		
		
		
		
		
		
		
		
-5	260	11.401754251
		
-15	251	9.1469484893
		
		
-25	280.3333333333	9.6666666667
		
		
-35	70	4.8304589154
		
		
-40	0	0
		
		
-38	107	7.3143694192
		
-36	79.5	6.3047601065
		
-37	0	0
		
		
		
		
-44	0	0
		
-37	121	11
-47	9	1.7320508076
		
		
-49	7.5	1.9364916731
		
-51	7	1.8708286934
		
		
-55	4.5	1.5
		
		
-63	1.5	0.8660254038
		
-83	0	0
		
		
		
-73	0	0
		
-68	0	0
		
-63	0	0
-65	1.5	0.8660254038
		
-67	1	0.5773502692
		
		
-65	0	0

