-4	738	27.1661554144
-24	707	26.5894716006
-34	50	7.0710678119
-29	179	13.3790881603
-31	62	7.874007874
-35	38	6.164414003
-40	23	4.7958315233
-45	9	3
-49	3	1.7320508076
-51	5	2.2360679775
-53	5	2.2360679775
-55	4	2
-57	2	1.4142135624
-59	1	1
-61	1	1
-62	1	1
-63	3	1.7320508076
-64	0	0
-65	2	1.4142135624
-66	1	1
-67	1	1
3	780	27.9284800875
13	776	27.8567765544
23	740	27.2029410175
33	40	6.3245553203
28	443	21.0475651798
31	113	10.6301458127
40	11	3.3166247904
42	9	3
44	7	2.6457513111
46	4	2
48	6	2.4494897428
50	1	1
52	3	1.7320508076
54	3	1.7320508076
56	2	1.4142135624
58	0	0

