-5	375.5	13.702189606
		
-15	367.6666666667	11.0704812703
		
		
-25	367	13.5462171841
		
-35	326	10.4243305141
		
		
-45	5.5	1.6583123952
		
-49	11	2.3452078799
		
-45	9.6666666667	1.2692955176
		
		
		
		
		
-50	5.3333333333	1.3333333333
		
		
-54	0	0
		
		
		
		
		
		
-57	0	0
		
-52	0.2857142857	0.1428571429
		
		
		
		
		
		
		
		
		
-53	0.1666666667	0.1666666667
		
		
		
		
		
5	307	12.3895116934
		
15	323.3333333333	10.3816076683
		
		
25	295.3333333333	9.9219173774
		
		
35	39	3.6055512755
		
		
40	19	2.5166114784
		
		
42	6.5	1.8027756377
		
44	11	2.3452078799
		
46	22	3.3166247904
		
48	21.5	3.2787192622
		
47	12.5	1.3363062096
		
		
		
		
		
		
48	8	1.2649110641
		
		
		
		
49	14.5714285714	1.4427864198
		
		
		
		
		
		
53	7.5	1.9364916731
		
63	3.75	0.9682458366
		
		
		
68	1	1
69	0.1666666667	0.1666666667

