5	700	26.4575131106
25	690	26.2678510731
35	51	7.1414284285
30	413	20.3224014329
32	155	12.449899598
36	49	7
41	21	4.582575695
46	12	3.4641016151
50	7	2.6457513111
52	3	1.7320508076
54	7	2.6457513111
56	3	1.7320508076
58	3	1.7320508076
60	1	1
62	0	0
63	4	2
64	2	1.4142135624
65	0	0
66	1	1
67	2	1.4142135624
68	1	1
-3	780	27.9284800875
-13	748	27.3495886624
-23	689	26.2488094968
-33	66	8.1240384046
-28	475	21.7944947177
-31	146	12.0830459736
-40	9	3
-42	6	2.4494897428
-44	8	2.8284271247
-46	9	3
-48	2	1.4142135624
-50	4	2
-52	3	1.7320508076
-54	4	2
-56	3	1.7320508076
-58	0	0

