-5	422.5	14.5344418537
		
-15	351.6666666667	10.8269211793
		
		
-25	287.5	11.9895788083
		
-35	221.3333333333	8.5893991512
		
		
-45	10	2.2360679775
		
-40	33.75	2.0539595906
		
		
		
		
		
		
		
-42	12.3333333333	2.0275875101
		
		
-43	10.2222222222	1.0657403385
		
		
		
		
		
		
		
		
-48	10	3.1622776602
-63	1	1
-67	1	1
-69	1	1
-70	0.6666666667	0.3333333333
		
		
		
		
		
-71	2.8333333333	0.6871842709
		
		
		
		
		
5	455	15.083103129
		
15	454.6666666667	12.3107902084
		
		
25	453	12.2882057274
		
		
35	284	9.7296796796
		
		
40	20.6666666667	2.6246692913
		
		
38	183	9.5655632349
		
36	194	9.8488578018
		
37	128.4	5.0675437837
		
		
		
		
44	67.5	5.8094750193
		
37	122	11.0453610172
47	3.6666666667	1.1055415968
		
		
49	2.5	1.1180339887
		
51	3.5	1.3228756555
		
		
55	37	3.5118845843
		
		
63	24	3.4641016151
		
83	1	0.5
		
		
		
73	0.5	0.5
		
68	0.5	0.5
		
63	6	2.4494897428
65	1.5	0.8660254038
		
67	1	0.5773502692
		
		
65	0	0

